art_num_pws;art_code;art_pv_ttc;art_dispo;art_px_kilo;art_px_litre;art_cont;art_unit_cont;art_ean;art_cip13;art_stock;Art_StDep;
31344;3409008;17.290;1;17.290;0.000;1;KG;7613034090089;2032748;8;39
24723;2032754;13.890;1;13.890;0.000;1;KG;7613034090119;2032754;8;79
20188;2032760;9.890;1;9.890;0.000;1;KG;7613034144591;2032760;10;40
12526;5150744;0.000;0;0.000;0.000;1;KG;3041090700910;5150744;0;0
12563;5150750;13.490;1;13.490;0.000;1;KG;;3401551507500;56;208
23217;3401551507500;13.990;1;13.990;0.000;1;KG;;3401551507500;56;208
6405;3401575677739;8.490;1;2.830;0.000;3;KG;3283950011020;3401575677739;17;7
18616;3401347955805;9.390;1;3.130;0.000;3;KG;3283950911764;3401347955805;17;19
14609;3401573287909;0.000;0;0.000;0.000;1;KG;3326100000014;3401573287909;0;0
227;3401573288098;0.000;0;0.000;0.000;3;KG;;3401573288098;0;0
14606;3401573288678;0.000;0;0.000;0.000;3;KG;;3401573288678;0;0
14607;3401573289859;0.000;0;0.000;0.000;1;KG;3326100000779;3401573289859;0;0
3297;3401542438639;0.000;0;0.000;0.000;1;KG;3518681009634;3401542438639;0;0
3299;3401542439179;0.000;1;0.000;0.000;1;KG;3518681005612;3401542439179;9;0
2188;3401543633729;0.000;1;0.000;0.000;1;KG;;3401543633729;50;0
12305;3401553552515;0.000;1;0.000;0.000;1;KG;3551100709586;3401553552515;10;0
5892;3401595787173;0.000;0;0.000;0.000;1;KG;3518681004363;3401595787173;0;0
5893;3401595787234;0.000;0;0.000;0.000;1;KG;3518681009702;3401595787234;0;0
5894;3401595787463;0.000;0;0.000;0.000;1;KG;3518681004370;3401595787463;0;0
15031;8100693;0.000;0;0.000;0.000;2;KG;3518681006930;3518681006930;0;0
15030;8100694;47.860;1;23.930;0.000;2;KG;3518681009627;8100694;3;0
20017;8681008;0.000;0;0.000;0.000;1;KG;3518681008019;3518681008019;0;0
11401;8029894;13.900;1;13.900;0.000;1;KG;4260196681049;8029894;5;10
26575;3518681009726;0.000;0;0.000;0.000;3;KG;3518681009726;3518681009726;0;0
12548;3401053552398;0.000;1;0.000;0.000;1;KG;;3401053552398;6;0
27173;3518681009641;19.490;1;19.490;0.000;1;KG;3518681009641;3518681009641;7;2
27170;3518681009665;19.490;1;19.490;0.000;1;KG;3518681009665;3518681009665;3;10
27171;3518681009689;0.000;0;0.000;0.000;1;KG;3518681009689;3518681009689;0;0
27169;3518681009696;19.490;0;19.490;0.000;1;KG;3518681009696;3518681009696;0;0
27172;3518681009719;0.000;1;0.000;0.000;2;KG;3518681009719;3518681009719;1;0
27176;8100961;47.860;1;23.930;0.000;2;KG;3518681009610;3518681009610;2;5
28008;3283950919906;7.490;1;2.497;0.000;3;KG;3283950919906;3283950919906;11;3
2992;3401343470197;0.000;0;0.000;0.000;9;G;0000030065949;3401343470197;0;0
13883;3401353737341;19.290;1;3858.000;0.000;5;G;0000030102415;3401353737341;2;1
13882;3401353737402;19.290;1;3858.000;0.000;5;G;0000030102422;3401353737402;3;0
13881;3401353737570;0.000;0;0.000;0.000;5;G;0000030102439;3401353737570;0;0
7365;9005565;0.000;0;0.000;0.000;55;G;0000050059157;9005565;0;0
7287;9007469;0.000;1;0.000;0.000;55;G;0091000002682;9007469;2;0
